size,ijk_float,jki_float,kij_float,ijk_double,jki_double,kij_double
218,1.24569e+09,1.0874e+09,8.451e+08,9.7149e+08,8.87845e+08,9.5159e+08
219,1.4825e+09,8.49572e+08,8.78783e+08,1.08468e+09,9.83023e+08,8.08577e+08
220,1.39143e+09,1.06304e+09,7.96022e+08,1.37822e+09,8.04663e+08,8.9252e+08
221,1.34402e+09,1.39882e+09,8.81852e+08,1.14531e+09,9.79141e+08,9.65634e+08
222,1.15885e+09,1.16983e+09,1.01313e+09,9.97654e+08,1.0902e+09,8.84449e+08
223,1.31269e+09,1.0824e+09,8.89319e+08,1.18265e+09,1.16086e+09,9.60982e+08
224,1.3736e+09,1.04706e+09,1.00173e+09,1.14525e+09,1.19226e+09,8.63081e+08
225,1.46855e+09,1.06279e+09,9.48482e+08,1.46296e+09,1.17919e+09,9.69141e+08
226,1.38568e+09,1.27612e+09,1.06042e+09,1.35925e+09,1.15859e+09,9.14631e+08
227,1.40456e+09,1.19131e+09,9.78018e+08,1.23113e+09,1.2502e+09,9.02505e+08
228,1.28808e+09,1.48929e+09,8.95698e+08,1.33986e+09,1.04191e+09,9.0033e+08
229,1.4226e+09,1.16382e+09,9.39659e+08,1.48695e+09,1.27202e+09,8.86072e+08
230,1.40368e+09,1.09141e+09,1.01752e+09,1.29939e+09,1.02173e+09,1.01955e+09
231,1.52516e+09,1.14811e+09,1.10401e+09,1.14564e+09,1.35688e+09,9.29351e+08
232,1.40615e+09,1.34775e+09,8.67591e+08,1.18254e+09,1.28086e+09,9.49094e+08
233,1.48658e+09,1.27596e+09,1.05407e+09,1.34977e+09,1.14489e+09,1.02755e+09
234,1.49726e+09,1.28746e+09,1.23524e+09,1.38649e+09,1.10455e+09,1.24506e+09
235,1.39277e+09,1.40282e+09,9.03245e+08,1.46248e+09,1.21565e+09,1.09135e+09
236,1.51273e+09,1.33554e+09,1.01722e+09,1.71529e+09,1.18969e+09,1.18351e+09
237,1.47067e+09,1.28503e+09,1.22126e+09,1.21616e+09,1.37664e+09,1.02671e+09
238,1.37929e+09,1.39641e+09,9.35468e+08,1.46222e+09,1.32121e+09,1.11674e+09
239,1.47706e+09,1.48834e+09,9.38781e+08,1.55495e+09,1.29086e+09,1.2466e+09
240,1.4365e+09,1.52344e+09,1.07138e+09,1.42484e+09,1.34948e+09,1.07289e+09
241,1.56873e+09,1.39863e+09,1.41003e+09,1.46078e+09,1.33236e+09,1.41078e+09
242,1.6631e+09,1.53372e+09,1.04893e+09,1.63984e+09,1.26087e+09,1.08315e+09
243,1.48171e+09,1.58152e+09,1.22878e+09,1.63165e+09,1.34635e+09,1.11126e+09
244,1.73827e+09,1.59871e+09,1.06787e+09,1.60121e+09,1.47218e+09,1.17894e+09
245,1.62149e+09,1.57955e+09,1.2585e+09,1.39222e+09,1.43831e+09,1.11509e+09
246,1.67054e+09,1.56266e+09,1.30387e+09,1.33763e+09,1.50788e+09,1.23031e+09
247,1.61629e+09,1.70512e+09,1.02468e+09,1.3469e+09,1.72815e+09,9.36504e+08
248,1.84512e+09,1.30639e+09,1.29066e+09,1.55013e+09,1.60148e+09,1.03824e+09
249,1.50331e+09,1.56975e+09,1.12784e+09,1.75776e+09,1.54691e+09,1.20358e+09
250,1.72073e+09,1.48326e+09,1.33007e+09,1.62466e+09,1.5801e+09,1.08147e+09
251,1.67389e+09,1.72502e+09,1.39376e+09,1.75197e+09,1.69892e+09,1.17768e+09
252,1.68251e+09,1.77814e+09,1.26406e+09,1.76806e+09,1.59662e+09,1.14343e+09
253,1.77862e+09,1.65578e+09,1.32362e+09,1.69104e+09,1.45665e+09,1.17807e+09
254,1.74468e+09,1.88292e+09,1.19566e+09,1.58732e+09,1.47444e+09,1.29811e+09
255,1.67129e+09,1.75096e+09,1.01177e+09,1.66029e+09,1.72407e+09,1.12117e+09
256,1.76279e+09,1.75923e+09,1.53019e+09,1.66664e+09,1.57856e+09,1.60361e+09
257,1.83688e+09,1.83278e+09,1.40112e+09,1.74813e+09,1.63118e+09,1.22285e+09
258,2.02804e+09,1.68676e+09,1.52825e+09,1.66572e+09,1.58996e+09,1.18143e+09
259,1.72448e+09,1.77639e+09,1.27986e+09,1.73878e+09,1.73405e+09,1.49332e+09
260,2.03494e+09,1.71195e+09,1.52767e+09,1.73355e+09,1.72324e+09,1.31158e+09
261,1.8144e+09,1.81341e+09,1.33646e+09,2.0488e+09,1.7558e+09,1.18654e+09
262,1.91428e+09,1.90726e+09,1.34204e+09,1.82571e+09,1.76108e+09,1.32298e+09
263,1.96179e+09,1.84446e+09,1.5405e+09,1.99613e+09,1.9647e+09,1.18726e+09
264,2.04158e+09,1.81179e+09,1.29357e+09,2.09213e+09,1.6631e+09,1.48519e+09
265,1.82591e+09,1.98614e+09,1.32841e+09,1.7744e+09,1.74626e+09,1.25543e+09
266,2.04196e+09,1.77143e+09,1.62903e+09,1.79229e+09,1.72608e+09,1.48935e+09
